,V Mag. (mV),Proper name,Bayer designation,Distance (ly),Spectral class,Mass (M☉),Radius (R☉),Luminosity (L☉)
60,4.09,Titawin,υ And,044.25,F8,1.27,1.48,3.57
61,4.1,Rho Cassiopeiae,ρ Cas,08154,G2,22,636-981,347000 - 530000
62,4.82,P Cygni,P Cyg,05545,B1,30,76,610000
63,4.86,La Superba,CVn,01000,C5,,129 - 342,2472 - 5800
64,4.91,VV Cephei,Cep,04900,M2,18.2,516 - 1050,200000
65,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
66,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,4350
67,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
68,5.71,R Coronae Borealis,Bor,04566,G0,0.85,85,10000
69,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
70,6.57,Mira,ο Ceti,0300,M7,1.2,370,9000
71,6.65,RW Cephei,Cep,014000,K2,13.9,1158,417000
72,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51,0.072
73,6.75,V838 Monocerotis,Mon,019896,M6,?,380 - 750,15000
74,7.25,HD 140283,Lib,0190,F?,?,1.4,3.83
75,7.4,II Pegasi,Peg,0130,K2,0.8,3.4,1.06
76,8.05,VY Canis Majoris,CMa,03900,M5,17,1420,178000 - 270000
77,8.3,Pistol Star,Sgr,025000,B3,100,320,1700000
78,8.6,S Doradus,Dor,0169000,B8,24,380,910000
79,8.9,UY Scuti,Sct,05100,M4,7–10,755,86300 - 87100
80,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20,0.0035
81,10.7,Luhman 16,Vel,06.52,L7,0.04,?,?
82,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15,0.0017
83,11.71,KIC 8462852,Cyg,01470,F3,1.43,1.58,4.68
84,12.23,R136a1,Dor,0163000,WN5,290,32,8710000
85,12.78,Melnick 42,Dor,0163000,O2,189,21.1,3600000
86,14.10,WR 102,Sag,018134,WO2,19,0.39,282000
87,14.38,VFTS 352,Dor,0164000,O5,57.48,14.47,330000
88,14.68,YBP 1194,Cnc,02772,G5,1.01,0.99,0.98
89,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21,0.0033
90,16.6,NML Cygni,Cyg,05251,M6,50,1640 - 2770,229000
91,17.30,VB 10,Aql,018.72,M8,0.075,0.10,0.0004
92,18.46,WOH G64,Dor,0163000,M5,<20,1540 - 1730,340-589000
93,18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12,0.0005
94,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086,0.00013
95,25,WISE 0855−0714,Hya,07.27,Y2,0.003,?,?
96,28.4,Icarus,Leo,014400000000,B?,33,?,850000
